Title                                                                     - Score - Num Eps            - Duration        - Genre(s)                                                    - Link
Chimuchimucheri ChimChimCheree                                            - 4.68  - 1 episode(s)       - 2 min.          - Kids, Music, Slice of Life                                  - https://myanimelist.net/anime/8661
Christmas Morgue                                                          - 4.40  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36181
Circles                                                                   - 5.36  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32762
Clarinet Kowashichatta                                                    - 4.92  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/24843
Clock Lock Works                                                          - 4.79  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36180
Cluster A                                                                 - 5.24  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/34856
Cobalt World                                                              - 6.59  - 1 episode(s)       - 4 min.          - Music, Slice of Life                                        - https://myanimelist.net/anime/34802
Committed RED                                                             - 5.69  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/33236
Crystal Clear                                                             - 6.50  - 1 episode(s)       - 4 min.          - Music, Space                                                - https://myanimelist.net/anime/36136
Cute Kenkyuukai                                                           - N/A   - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/37138
Dareka no Santa Claus                                                     - 5.56  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32858
Densha Kamo Shirenai                                                      - 5.61  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/6777
Donna Donna                                                               - 5.20  - 1 episode(s)       - 2 min.          - Music, Slice of Life                                        - https://myanimelist.net/anime/8719
Dore Dore no Uta                                                          - 5.96  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/4158
Doukyuusei                                                                - 6.28  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32422
Dracula no Uta                                                            - 4.97  - 1 episode(s)       - 2 min.          - Kids, Music, Vampire                                        - https://myanimelist.net/anime/21831
Dreaming Pupa: Yumemiru Bokura                                            - 4.91  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32803
DušaN                                                                     - 5.93  - 1 episode(s)       - 3 min.          - Music, Psychological                                        - https://myanimelist.net/anime/32139
Echolocation                                                              - 4.74  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36069
Endless Summer                                                            - 4.57  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36074
Escape from Tsuki no Uragawa Zoo                                          - 5.57  - 1 episode(s)       - 3 min.          - Drama, Fantasy, Music                                       - https://myanimelist.net/anime/35263
Everyday Affair                                                           - 5.28  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/34857
Fake Style II                                                             - 5.92  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32747
Fake Style                                                                - 5.95  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32745
Forsaken                                                                  - 5.88  - 1 episode(s)       - 5 min.          - Music, Vampire                                              - https://myanimelist.net/anime/11795
Fr/day Night                                                              - 5.26  - 1 episode(s)       - 4 min.          - Comedy, Music                                               - https://myanimelist.net/anime/32854
Fuki to Hiyoko                                                            - 5.66  - 1 episode(s)       - 4 min.          - Music, Kids                                                 - https://myanimelist.net/anime/30163
Futago no Ookami Daibouken                                                - 5.21  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29179
Futari wa 80-sai                                                          - 4.42  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32322
Ganso Banana no Tamashii                                                  - 4.67  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/28897
Gekkou Shokudou                                                           - 5.50  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32761
Gene                                                                      - 5.07  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32775
Ghana                                                                     - 4.29  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36091
Good Morning                                                              - 5.71  - 1 episode(s)       - 3 min.          - Slice of Life, Music                                        - https://myanimelist.net/anime/8626
Gravity                                                                   - 5.83  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/35264
Gregorio                                                                  - 5.75  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32755
HEROISM++                                                                 - N/A   - 1 episode(s)       - 1 sec.          - Music                                                       - https://myanimelist.net/anime/34947
Hakimono to Kasa no Monogatari                                            - 5.64  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/30199
Halfway                                                                   - 4.82  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/36067
Halved                                                                    - 3.15  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/36102
Hana (Music)                                                              - 5.20  - 1 episode(s)       - 4 min.          - Music, Kids                                                 - https://myanimelist.net/anime/37196
Hanabi                                                                    - 5.95  - 1 episode(s)       - 6 min.          - Slice of Life, Romance, Music, Drama                        - https://myanimelist.net/anime/31977
Hanabira                                                                  - 4.79  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/36780
Hane (2016)                                                               - 5.67  - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/33885
Hane                                                                      - 5.02  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32767
Happy Hour                                                                - 5.15  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32783
Happy Party Train                                                         - 7.70  - 1 episode(s)       - 8 min.          - Music                                                       - https://myanimelist.net/anime/35006
Henna ABC                                                                 - 5.26  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/28355
Henna Ie!                                                                 - 4.90  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29181
Hibi no Awa                                                               - 5.33  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/34418
Hietsuki Bushi                                                            - 5.57  - 1 episode(s)       - 3 min.          - Sci-Fi, Music, Fantasy                                      - https://myanimelist.net/anime/32618
Higenashi Gogejabaru                                                      - 5.16  - 1 episode(s)       - 2 min.          - Comedy, Fantasy, Kids, Music                                - https://myanimelist.net/anime/21833
Hikaru Genji: Paradise Ginga                                              - 5.14  - 1 episode(s)       - 4 min.          - Music, Space                                                - https://myanimelist.net/anime/33217
Hikaru Genji: Taiyou ga Ippai                                             - 5.09  - 1 episode(s)       - 5 min.          - Adventure, Music                                            - https://myanimelist.net/anime/33215
Hikenai Guitar wo Hikundaze                                               - 5.30  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/30428
Himawari                                                                  - 5.50  - 1 episode(s)       - 6 min.          - Music                                                       - https://myanimelist.net/anime/36763
Hiyoko Gumo                                                               - 5.43  - 1 episode(s)       - 2 min.          - Fantasy, Kids, Music                                        - https://myanimelist.net/anime/8782
Hizumu Realism                                                            - 5.32  - 1 episode(s)       - 4 min.          - Dementia, Music                                             - https://myanimelist.net/anime/32749
Hone Hone Rock                                                            - 5.08  - 1 episode(s)       - 1 min.          - Music, Kids                                                 - https://myanimelist.net/anime/30162
Honky Tonk Women                                                          - N/A   - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32786
Hoshi Uranai Kirakira                                                     - 5.16  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29451
How Low Sympathy                                                          - 5.23  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/34424
Human Gift                                                                - 3.43  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36072
Humanoid Girl                                                             - 4.45  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36090
Hunger                                                                    - 4.20  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36070
I Was King                                                                - 6.38  - 1 episode(s)       - 4 min.          - Fantasy, Music                                              - https://myanimelist.net/anime/34655
I'm Coming                                                                - 4.24  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36061
I'm Here with You                                                         - 5.62  - 1 episode(s)       - 4 min.          - Music, Kids                                                 - https://myanimelist.net/anime/8659
Ice Fist                                                                  - 5.15  - 1 episode(s)       - 5 min.          - Music, Dementia                                             - https://myanimelist.net/anime/36096
Ikezu                                                                     - 5.59  - 1 episode(s)       - 51 sec.         - Comedy, Music                                               - https://myanimelist.net/anime/36050
Ima                                                                       - N/A   - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36111
Interstella5555: The 5tory of The 5ecret 5tar 5ystem                      - 8.17  - 1 episode(s)       - 1 hr. 7 min.    - Adventure, Drama, Music, Sci-Fi                             - https://myanimelist.net/anime/731
Ishitsubutsu Toriatsukaijo                                                - 5.49  - 1 episode(s)       - 4 min.          - Drama, Music                                                - https://myanimelist.net/anime/32845
Islay                                                                     - N/A   - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/37135
Itsudatte Bokura no Koi wa 10 cm Datta.                                   - 7.69  - 6 episode(s)       - 24 min. per ep. - Comedy, Drama, Romance, School                              - https://myanimelist.net/anime/36220
Jigoku de Naze Warui                                                      - 4.58  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/33400
Jijii: Owari no Hajimari                                                  - 5.24  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32800
Jikkyou Chuukei                                                           - 5.30  - 1 episode(s)       - 5 min.          - Dementia, Music                                             - https://myanimelist.net/anime/33886
Jirijiri                                                                  - 4.44  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36065
Jitensha-hen                                                              - 4.89  - 1 episode(s)       - 7 min.          - Music                                                       - https://myanimelist.net/anime/32777
Joutoku                                                                   - 4.09  - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/36767
Juicy Jungle                                                              - 5.01  - 1 episode(s)       - 5 min.          - Sci-Fi, Music                                               - https://myanimelist.net/anime/32092
Kabocha no Oji-san                                                        - 4.15  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32473
Kachikachi Yama no Shouboutai                                             - 5.75  - 1 episode(s)       - 9 min.          - Comedy                                                      - https://myanimelist.net/anime/30457
Kagerou Daze: In a Day's                                                  - 6.97  - 1 episode(s)       - 20 min.         - Sci-Fi, Slice of Life, Comedy, Supernatural, Magic, Romance - https://myanimelist.net/anime/33219
Kaijuu no Ballad                                                          - 4.85  - 1 episode(s)       - 3 min.          - Music, Comedy, Fantasy                                      - https://myanimelist.net/anime/8751
Kaijuu                                                                    - 5.14  - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/36088
Kakumeiteki Broadway Shugisha Doumei                                      - 5.16  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/22059
Kanashiki Mongoose                                                        - 4.91  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/30167
Kando≠Reduction                                                           - 5.53  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36778
Kanojo wa Zombie                                                          - 5.97  - 1 episode(s)       - 3 min.          - Music, Romance                                              - https://myanimelist.net/anime/32600
Karasu to Kaki no Tane                                                    - 4.75  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/37190
Katsuobushi Dayo Jinsei wa                                                - 4.09  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/29966
Katte ni Shiyagatte                                                       - 3.62  - 1 episode(s)       - 1 min.          - Music, Dementia                                             - https://myanimelist.net/anime/36117
Kawazuno Mekaridoki                                                       - 5.68  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/34657
Kaze Gourmet                                                              - 4.50  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/37192
Kaze no Toori Michi                                                       - 6.14  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/4689
Ken-chan                                                                  - 4.64  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32420
Kenka no Ato wa                                                           - 5.43  - 1 episode(s)       - 2 min.          - Music, Kids, Romance                                        - https://myanimelist.net/anime/29453
Kimagure Mercy                                                            - 6.05  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36630
Kimi no Kokoro wa Kagayaiteru kai?                                        - 7.38  - 1 episode(s)       - 6 min.          - Music                                                       - https://myanimelist.net/anime/31780
Kimi wa Tomodachi                                                         - 5.45  - 1 episode(s)       - 5 min.          - Adventure, Fantasy, Music                                   - https://myanimelist.net/anime/29353
Kinpatsu no Jeanie                                                        - 6.40  - 13 episode(s)      - 25 min. per ep. - Historical, Drama                                           - https://myanimelist.net/anime/6012
Kiss Shite Hoshii                                                         - 5.16  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32928
Kodanuki Ponpo                                                            - 4.86  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32430
Koi Hanabi                                                                - 5.83  - 1 episode(s)       - 4 min.          - Fantasy, Music                                              - https://myanimelist.net/anime/8667
Koi ni Naritai Aquarium                                                   - 7.56  - 1 episode(s)       - 7 min.          - Music                                                       - https://myanimelist.net/anime/32953
Koi to Byonetsu                                                           - N/A   - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/34952
Kokuen                                                                    - 5.33  - 1 episode(s)       - 3 min.          - Drama, Music                                                - https://myanimelist.net/anime/32759
Konpeitou                                                                 - 3.50  - 1 episode(s)       - 3 min.          - Music, Kids                                                 - https://myanimelist.net/anime/37060
Kuro                                                                      - 5.14  - 1 episode(s)       - 4 min.          - Kids, Music                                                 - https://myanimelist.net/anime/31873
L'Œil du Cyclone                                                          - 5.79  - 1 episode(s)       - 4 min.          - Music, Dementia                                             - https://myanimelist.net/anime/34039
La Primavera                                                              - 5.89  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32748
Lina Poe Poe                                                              - 4.85  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/32784
Love Will Find the Way Back Home                                          - 5.50  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32844
Machibouke (2017)                                                         - 3.19  - 1 episode(s)       - 4 min.          - Music, Kids                                                 - https://myanimelist.net/anime/36667
Magical Music Train                                                       - 4.69  - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/33907
Mahou no Hiroba                                                           - 4.13  - 1 episode(s)       - 3 min.          - Music, Fantasy                                              - https://myanimelist.net/anime/18561
Makkuramori no Uta                                                        - 5.71  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/21715
Marginal#4: Kiss kara Tsukuru Big Bang                                    - 6.84  - 12 episode(s)      - 23 min. per ep. - Music, Comedy, School                                       - https://myanimelist.net/anime/33788
Mekakucity Actors                                                         - 7.19  - 12 episode(s)      - 23 min. per ep. - Sci-Fi, Comedy, Super Power, Supernatural, Romance          - https://myanimelist.net/anime/21603
Mekakucity Days                                                           - 7.71  - 5 episode(s)       - 4 min. per ep.  - Sci-Fi, Music, Psychological                                - https://myanimelist.net/anime/30913
Mekakucity Records                                                        - 7.72  - 3 episode(s)       - 3 min. per ep.  - Sci-Fi, Music, Psychological                                - https://myanimelist.net/anime/36494
Mekakucity Reload                                                         - N/A   - Unknown episode(s) - Unknown         - Sci-Fi, Comedy, Super Power, Supernatural, Romance          - https://myanimelist.net/anime/33852
Mekakucity V's                                                            - 7.56  - 4 episode(s)       - 4 min. per ep.  - Music, Super Power, Supernatural, Romance                   - https://myanimelist.net/anime/34318
Message Song                                                              - 5.47  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/8752
Metamorphosis                                                             - 2.50  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36080
Metropolitan Museum                                                       - 5.05  - 1 episode(s)       - 2 min.          - Music, Kids, Fantasy                                        - https://myanimelist.net/anime/8730
Michi (Music)                                                             - 5.42  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/7296
Mikagura Gakuen Kumikyoku                                                 - 6.76  - 5 episode(s)       - 3 min. per ep.  - Music, Psychological, School                                - https://myanimelist.net/anime/30924
Minami no Kuni kara Kita Tegami                                           - 5.21  - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32475
Mirai no Hito e                                                           - N/A   - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/37212
Mirror Mirror (Bombs BiS)                                                 - 4.64  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/36095
Mogyutto "Love" de Sekkinchuu!                                            - 7.32  - 1 episode(s)       - 6 min.          - Music                                                       - https://myanimelist.net/anime/12637
Momotarou (Music)                                                         - 4.73  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/33401
Mononoke Dance                                                            - 5.13  - 1 episode(s)       - 4 min.          - Music, Dementia                                             - https://myanimelist.net/anime/10584
Mr. Empty                                                                 - 4.84  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/30427
Mukashi Toilet ga Kowakatta!                                              - 4.67  - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/31878
Nagisa                                                                    - 4.95  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/32776
Naisho no Hanashi                                                         - 6.49  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36725
Namae no Nai hi                                                           - 4.00  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/35978
Nandaku Mou                                                               - 4.35  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36103
Natsu no Ginkei                                                           - 4.14  - 1 episode(s)       - 6 min.          - Music                                                       - https://myanimelist.net/anime/32857
Natsu-iro Egao de 1, 2, Jump!                                             - 7.33  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/11033
Nerenai!!!                                                                - 4.45  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/36087
Never Shined                                                              - 2.97  - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32862
Niedola                                                                   - 5.45  - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/31641
Ningyo no Hanashi                                                         - 5.30  - 1 episode(s)       - 4 min.          - Fantasy, Music                                              - https://myanimelist.net/anime/32788
Ninja Negizou                                                             - 5.00  - 1 episode(s)       - 3 min.          - Music, Kids                                                 - https://myanimelist.net/anime/33060
Nobiro Nobiro Daisuki na Ki                                               - 5.93  - 1 episode(s)       - 2 min.          - Fantasy, Music                                              - https://myanimelist.net/anime/8724
Norimono Atsumare: Hit Song-shuu                                          - 4.50  - 6 episode(s)       - 4 min. per ep.  - Music                                                       - https://myanimelist.net/anime/32904
Nosferatu                                                                 - 4.03  - 1 episode(s)       - 2 min.          - Dementia, Music                                             - https://myanimelist.net/anime/36115
Nothing's Gonna Change                                                    - 4.00  - 1 episode(s)       - 3 min.          - Music, Sci-Fi                                               - https://myanimelist.net/anime/36766
Nou Nen                                                                   - N/A   - 1 episode(s)       - 3 min.          - Dementia, Ecchi, Music                                      - https://myanimelist.net/anime/37147
Obaachan no Takaramono                                                    - 3.55  - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32166
Ofuro no Kazoe Uta                                                        - 5.01  - 1 episode(s)       - 3 min.          - Music, Kids                                                 - https://myanimelist.net/anime/28197
Ojiichan no Komoriuta                                                     - 5.00  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32229
Okoru yo!                                                                 - 4.50  - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32472
Omoide no Album                                                           - 5.08  - 1 episode(s)       - 2 min.          - Music, Slice of Life, Kids, School                          - https://myanimelist.net/anime/8729
On Your Mark                                                              - 7.56  - 1 episode(s)       - 6 min.          - Drama, Music, Sci-Fi                                        - https://myanimelist.net/anime/1047
Onaka no Ookina Ouji-sama                                                 - 5.19  - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/30073
One and Three Four                                                        - 5.27  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32763
Ooi! Hanimaru                                                             - 4.98  - 1 episode(s)       - 1 min.          - Kids, Music                                                 - https://myanimelist.net/anime/29888
Oppai ga Ippai                                                            - 5.02  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/30160
Orangutan                                                                 - 5.13  - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29053
Original                                                                  - 4.52  - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36781
Oshiri Kajiri Mushi (TV) 2nd Season                                       - 5.50  - 32 episode(s)      - 5 min. per ep.  - Comedy, Kids                                                - https://myanimelist.net/anime/19755
Oshiri Kajiri Mushi (TV) 3rd Season                                       - 5.47  - 10 episode(s)      - 5 min. per ep.  - Comedy, Kids                                                - https://myanimelist.net/anime/27687
Oshiri Kajiri Mushi (TV) 4th Season                                       - 5.58  - 10 episode(s)      - 5 min. per ep.  - Comedy, Kids                                                - https://myanimelist.net/anime/31747
Oshiri Kajiri Mushi (TV)                                                  - 5.29  - 20 episode(s)      - 5 min. per ep.  - Comedy, Kids                                                - https://myanimelist.net/anime/15545
Otogi no Kuni no Birthday                                                 - 4.88  - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/14125
