Title                                                 - Score - Year    - Num Eps            - Duration        - Genre(s)                                                    - Link
Escape from Tsuki no Uragawa Zoo                      - 5.54  - 2016    - 1 episode(s)       - 3 min.          - Drama, Fantasy, Music                                       - https://myanimelist.net/anime/35263
Forsaken                                              - 5.87  - 2008    - 1 episode(s)       - 5 min.          - Music, Vampire                                              - https://myanimelist.net/anime/11795
Fr/day Night                                          - 5.23  - 2015    - 1 episode(s)       - 4 min.          - Comedy, Music                                               - https://myanimelist.net/anime/32854
Fuki to Hiyoko                                        - 5.65  - 2013    - 1 episode(s)       - 4 min.          - Music, Kids                                                 - https://myanimelist.net/anime/30163
Futago no Ookami Daibouken                            - 5.20  - 1980    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29179
Futari wa 80-sai                                      - 4.36  - 1986    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32322
Ganso Banana no Tamashii                              - 4.65  - 1990    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/28897
Gekkou Shokudou                                       - 5.48  - 2012    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32761
Gene                                                  - 5.02  - 2010    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32775
Ghana                                                 - 4.24  - 2015    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36091
Go-hiki no Kobuta to Charleston                       - 4.74  - 1964    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/24905
Good Morning                                          - 5.73  - 2008    - 1 episode(s)       - 3 min.          - Slice of Life, Music                                        - https://myanimelist.net/anime/8626
Gravity                                               - 5.83  - 2016    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/35264
Gregorio                                              - 5.72  - 2012    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32755
HEROISM++                                             - N/A   - 2016    - 1 episode(s)       - 1 sec.          - Music                                                       - https://myanimelist.net/anime/34947
Hakimono to Kasa no Monogatari                        - 5.64  - 2015    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/30199
Halfway                                               - 4.82  - 2012    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/36067
Halved                                                - 4.67  - 2016    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/36102
Hana (Music)                                          - 4.25  - 2008    - 1 episode(s)       - 4 min.          - Music, Kids                                                 - https://myanimelist.net/anime/37196
Hanabi                                                - 5.95  - 2015    - 1 episode(s)       - 6 min.          - Slice of Life, Romance, Music, Drama                        - https://myanimelist.net/anime/31977
Hanabira                                              - 4.70  - 2011    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/36780
Hane (2016)                                           - 5.68  - 2015    - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/33885
Hane                                                  - 5.02  - 2011    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32767
Happy Hour                                            - 5.11  - 2008    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32783
Happy Party Train                                     - 7.72  - 2017    - 1 episode(s)       - 8 min.          - Music                                                       - https://myanimelist.net/anime/35006
Henna ABC                                             - 5.24  - 1986    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/28355
Henna Ie!                                             - 4.88  - 1983    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29181
Hibi no Awa                                           - 5.35  - 2014    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/34418
Himawari                                              - 5.30  - 2017    - 1 episode(s)       - 6 min.          - Music                                                       - https://myanimelist.net/anime/36763
Hiyoko Gumo                                           - 5.44  - 2009    - 1 episode(s)       - 2 min.          - Fantasy, Kids, Music                                        - https://myanimelist.net/anime/8782
Hizumu Realism                                        - 5.33  - 2015    - 1 episode(s)       - 4 min.          - Dementia, Music                                             - https://myanimelist.net/anime/32749
Hone Hone Rock                                        - 5.06  - 1976    - 1 episode(s)       - 1 min.          - Music, Kids                                                 - https://myanimelist.net/anime/30162
Honky Tonk Women                                      - N/A   - 2015    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32786
Hoshi Uranai Kirakira                                 - 5.17  - 1983    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29451
Human Gift                                            - 3.43  - 2009    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36072
Humanoid Girl                                         - 4.49  - 2014    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36090
Hunger                                                - 4.11  - 2014    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36070
I Was King                                            - 6.39  - 2016    - 1 episode(s)       - 4 min.          - Fantasy, Music                                              - https://myanimelist.net/anime/34655
I'm Coming                                            - 4.18  - 2017    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36061
I'm Here with You                                     - 5.63  - 2009    - 1 episode(s)       - 4 min.          - Music, Kids                                                 - https://myanimelist.net/anime/8659
Ice Fist                                              - 5.13  - 2014    - 1 episode(s)       - 5 min.          - Music, Dementia                                             - https://myanimelist.net/anime/36096
Ikezu                                                 - 5.58  - 2017    - 1 episode(s)       - 51 sec.         - Comedy, Music                                               - https://myanimelist.net/anime/36050
Ima                                                   - N/A   - 2017    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36111
Interstella5555: The 5tory of The 5ecret 5tar 5ystem  - 8.17  - 2003    - 1 episode(s)       - 1 hr. 7 min.    - Adventure, Drama, Music, Sci-Fi                             - https://myanimelist.net/anime/731
Irotoridori                                           - 3.86  - 2013    - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/37401
Ishitsubutsu Toriatsukaijo                            - 5.48  - 2012    - 1 episode(s)       - 4 min.          - Drama, Music                                                - https://myanimelist.net/anime/32845
Itsudatte Bokura no Koi wa 10 cm Datta.               - 7.68  - 2017    - 6 episode(s)       - 23 min. per ep. - Comedy, Drama, Romance, School                              - https://myanimelist.net/anime/36220
Itsumademo Tabibito                                   - 5.42  - 1988    - 1 episode(s)       - 2 min.          - Drama, Music                                                - https://myanimelist.net/anime/8718
Jigoku de Naze Warui                                  - 4.57  - 2013    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/33400
Jijii: Owari no Hajimari                              - 5.20  - 2014    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/32800
Jikkyou Chuukei                                       - 5.30  - 2014    - 1 episode(s)       - 5 min.          - Dementia, Music                                             - https://myanimelist.net/anime/33886
Jirijiri                                              - 4.31  - 2012    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36065
Jitensha-hen                                          - 4.89  - 2009    - 1 episode(s)       - 7 min.          - Music                                                       - https://myanimelist.net/anime/32777
Joukyuusei                                            - 6.28  - 1985    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/32422
Joutoku                                               - 4.20  - 2017    - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/36767
Juicy Jungle                                          - 4.94  - 2006    - 1 episode(s)       - 5 min.          - Sci-Fi, Music                                               - https://myanimelist.net/anime/32092
Kabocha no Oji-san                                    - 4.10  - 1987    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32473
Kachikachi Yama no Shouboutai                         - 5.76  - 1948    - 1 episode(s)       - 9 min.          - Comedy                                                      - https://myanimelist.net/anime/30457
Kagerou Daze: In a Day's                              - 6.94  - 2016    - 1 episode(s)       - 20 min.         - Sci-Fi, Slice of Life, Comedy, Supernatural, Magic, Romance - https://myanimelist.net/anime/33219
Kaijuu no Ballad                                      - 4.86  - 2007    - 1 episode(s)       - 3 min.          - Music, Comedy, Fantasy                                      - https://myanimelist.net/anime/8751
Kaijuu                                                - 5.03  - 2012    - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/36088
Kakumeiteki Broadway Shugisha Doumei                  - 5.14  - 2013    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/22059
Kanashiki Mongoose                                    - 4.90  - 1979    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/30167
Kando≠Reduction                                       - 5.66  - 2012    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36778
Kanojo wa Zombie                                      - 5.97  - 2016    - 1 episode(s)       - 3 min.          - Music, Romance                                              - https://myanimelist.net/anime/32600
Katte ni Shiyagatte                                   - 3.60  - 2012    - 1 episode(s)       - 1 min.          - Music, Dementia                                             - https://myanimelist.net/anime/36117
Kawazuno Mekaridoki                                   - 5.68  - 2016    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/34657
Kaze no Toori Michi                                   - 6.14  - 2004    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/4689
Ken-chan                                              - 4.50  - 1985    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32420
Kenka no Ato wa                                       - 5.43  - 1988    - 1 episode(s)       - 2 min.          - Music, Kids, Romance                                        - https://myanimelist.net/anime/29453
Kimagure Mercy                                        - 6.29  - 2016    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36630
Kimi no Kokoro wa Kagayaiteru kai?                    - 7.40  - 2015    - 1 episode(s)       - 6 min.          - Music                                                       - https://myanimelist.net/anime/31780
Kimi wa Tomodachi                                     - 5.47  - 2004    - 1 episode(s)       - 5 min.          - Adventure, Fantasy, Music                                   - https://myanimelist.net/anime/29353
Kinpatsu no Jeanie                                    - 6.30  - 1979    - 13 episode(s)      - 25 min. per ep. - Historical, Drama                                           - https://myanimelist.net/anime/6012
Kiss Shite Hoshii                                     - 5.26  - 1987    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32928
Kodanuki Ponpo                                        - 4.87  - 1983    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32430
Koi Hanabi                                            - 5.82  - 2002    - 1 episode(s)       - 4 min.          - Fantasy, Music                                              - https://myanimelist.net/anime/8667
Koi ni Naritai Aquarium                               - 7.58  - 2016    - 1 episode(s)       - 7 min.          - Music                                                       - https://myanimelist.net/anime/32953
Koi to Byonetsu                                       - N/A   - 2012    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/34952
Kokuen                                                - 5.33  - 2013    - 1 episode(s)       - 3 min.          - Drama, Music                                                - https://myanimelist.net/anime/32759
Konpeitou                                             - 3.33  - 2011    - 1 episode(s)       - 3 min.          - Music, Kids                                                 - https://myanimelist.net/anime/37060
Kuro                                                  - 5.07  - 2005    - 1 episode(s)       - 4 min.          - Kids, Music                                                 - https://myanimelist.net/anime/31873
L'Œil du Cyclone                                      - 5.76  - 2015    - 1 episode(s)       - 4 min.          - Music, Dementia                                             - https://myanimelist.net/anime/34039
La Primavera                                          - 5.88  - 2015    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32748
Lina Poe Poe                                          - 4.83  - 2008    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/32784
Love Will Find the Way Back Home                      - 5.50  - 2014    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32844
Machibouke (2017)                                     - 3.18  - 2017    - 1 episode(s)       - 4 min.          - Music, Kids                                                 - https://myanimelist.net/anime/36667
Magical Music Train                                   - 4.69  - 2009    - 1 episode(s)       - 1 min.          - Music                                                       - https://myanimelist.net/anime/33907
Mahou no Hiroba                                       - 4.13  - 2001    - 1 episode(s)       - 3 min.          - Music, Fantasy                                              - https://myanimelist.net/anime/18561
Makkuramori no Uta                                    - 5.70  - 1985    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/21715
Marginal#4: Kiss kara Tsukuru Big Bang                - 6.83  - 2017    - 12 episode(s)      - 23 min. per ep. - Music, Comedy, School                                       - https://myanimelist.net/anime/33788
Mekakucity Actors                                     - 7.19  - 2014    - 12 episode(s)      - 23 min. per ep. - Sci-Fi, Comedy, Super Power, Supernatural, Romance          - https://myanimelist.net/anime/21603
Mekakucity Days                                       - 7.72  - 2012    - 5 episode(s)       - 4 min. per ep.  - Sci-Fi, Music, Psychological                                - https://myanimelist.net/anime/30913
Mekakucity Records                                    - 7.70  - 2013    - 3 episode(s)       - 3 min. per ep.  - Sci-Fi, Music, Psychological                                - https://myanimelist.net/anime/36494
Mekakucity Reload                                     - N/A   - Unknown - Unknown episode(s) - Unknown         - Sci-Fi, Comedy, Super Power, Supernatural, Romance          - https://myanimelist.net/anime/33852
Mekakucity V's                                        - 7.57  - 2014    - 4 episode(s)       - 4 min. per ep.  - Music, Super Power, Supernatural, Romance                   - https://myanimelist.net/anime/34318
Message Song                                          - 5.47  - 1996    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/8752
Metamorphosis                                         - 2.67  - 2009    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36080
Metropolitan Museum                                   - 5.03  - 1984    - 1 episode(s)       - 2 min.          - Music, Kids, Fantasy                                        - https://myanimelist.net/anime/8730
Michi (Music)                                         - 5.42  - 2004    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/7296
Minami no Kuni kara Kita Tegami                       - 5.07  - 1992    - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32475
Mirai no Hito e                                       - N/A   - 2018    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/37212
Mirror Mirror (Bombs BiS)                             - 4.74  - 2014    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/36095
Mogyutto "Love" de Sekkinchuu!                        - 7.32  - 2012    - 1 episode(s)       - 6 min.          - Music                                                       - https://myanimelist.net/anime/12637
Momotarou (Music)                                     - 4.70  - 2014    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/33401
Mononoke Dance                                        - 5.13  - 2008    - 1 episode(s)       - 4 min.          - Music, Dementia                                             - https://myanimelist.net/anime/10584
Mr. Empty                                             - 4.84  - 2004    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/30427
Mukashi Toilet ga Kowakatta!                          - 4.63  - 2000    - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/31878
Nagisa                                                - 4.94  - 2009    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/32776
Naisho no Hanashi                                     - 6.49  - 2012    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36725
Namae no Nai hi                                       - 4.00  - 2012    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/35978
Nandaku Mou                                           - 4.24  - 2015    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36103
Natsu no Ginkei                                       - 4.07  - 2014    - 1 episode(s)       - 6 min.          - Music                                                       - https://myanimelist.net/anime/32857
Neko Funjatta                                         - 5.08  - 1966    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/24903
Nerenai!!!                                            - 4.14  - 2011    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/36087
Never Shined                                          - 3.00  - 2014    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/32862
Niedola                                               - 5.40  - 2012    - 1 episode(s)       - 5 min.          - Music                                                       - https://myanimelist.net/anime/31641
Ningyo no Hanashi                                     - 5.28  - 2014    - 1 episode(s)       - 4 min.          - Fantasy, Music                                              - https://myanimelist.net/anime/32788
Ninja Negizou                                         - 4.80  - 2010    - 1 episode(s)       - 3 min.          - Music, Kids                                                 - https://myanimelist.net/anime/33060
Nobiro Nobiro Daisuki na Ki                           - 5.92  - 2007    - 1 episode(s)       - 2 min.          - Fantasy, Music                                              - https://myanimelist.net/anime/8724
Norimono Atsumare: Hit Song-shuu                      - 4.22  - 1994    - 6 episode(s)       - 4 min. per ep.  - Music                                                       - https://myanimelist.net/anime/32904
Nosferatu                                             - 4.10  - 2012    - 1 episode(s)       - 2 min.          - Dementia, Music                                             - https://myanimelist.net/anime/36115
Nothing's Gonna Change                                - 4.07  - 1999    - 1 episode(s)       - 3 min.          - Music, Sci-Fi                                               - https://myanimelist.net/anime/36766
Nou Nen                                               - N/A   - 2017    - 1 episode(s)       - 3 min.          - Dementia, Ecchi, Music                                      - https://myanimelist.net/anime/37147
Obaachan no Takaramono                                - 3.50  - 1989    - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32166
Ojiichan no Komoriuta                                 - 4.77  - 1987    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32229
Okoru yo!                                             - 4.27  - 1983    - 1 episode(s)       - 3 min.          - Kids, Music                                                 - https://myanimelist.net/anime/32472
Omoide no Album                                       - 5.07  - 1981    - 1 episode(s)       - 2 min.          - Music, Slice of Life, Kids, School                          - https://myanimelist.net/anime/8729
On Your Mark                                          - 7.56  - 1995    - 1 episode(s)       - 6 min.          - Drama, Music, Sci-Fi                                        - https://myanimelist.net/anime/1047
Onaka no Ookina Ouji-sama                             - 5.18  - 1975    - 1 episode(s)       - 2 min.          - Music                                                       - https://myanimelist.net/anime/30073
One and Three Four                                    - 5.27  - 2013    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/32763
Ooi! Hanimaru                                         - 4.98  - Unknown - 1 episode(s)       - 1 min.          - Kids, Music                                                 - https://myanimelist.net/anime/29888
Oppai ga Ippai                                        - 5.03  - Unknown - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/30160
Orangutan                                             - 5.12  - 1980    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29053
Original                                              - 4.55  - 2014    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36781
Oshiri Kajiri Mushi (TV) 2nd Season                   - 5.51  - 2013    - 32 episode(s)      - 5 min. per ep.  - Comedy, Kids                                                - https://myanimelist.net/anime/19755
Oshiri Kajiri Mushi (TV) 4th Season                   - 5.59  - 2015    - 10 episode(s)      - 5 min. per ep.  - Comedy, Kids                                                - https://myanimelist.net/anime/31747
Otogi no Kuni no Birthday                             - 4.88  - 1989    - 1 episode(s)       - 2 min.          - Kids, Music                                                 - https://myanimelist.net/anime/14125
Otsukimi Recital                                      - 7.32  - 2013    - 1 episode(s)       - 3 min.          - Music, Psychological                                        - https://myanimelist.net/anime/35752
Owakare                                               - 3.52  - 2012    - 1 episode(s)       - 3 min.          - Music                                                       - https://myanimelist.net/anime/36085
Oyoge! Taiyaki-kun                                    - 3.50  - 2008    - 1 episode(s)       - 4 min.          - Kids, Music                                                 - https://myanimelist.net/anime/36129
PANDORA VOXX complete                                 - N/A   - 2013    - 9 episode(s)       - 4 hr. per ep.   - Action, Adventure, Fantasy, Music, Sci-Fi                   - https://myanimelist.net/anime/36631
Parasol Life                                          - 3.18  - 2009    - 1 episode(s)       - 4 min.          - Music                                                       - https://myanimelist.net/anime/36079
Pata Pata Mama                                        - 5.04  - 1976    - 1 episode(s)       - 2 min.          - Music, Kids                                                 - https://myanimelist.net/anime/29459
