Title                                                                                                - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                                      - Link
1/100 Train Station                                                                                  - 5.38  - 2017    - 1 episode(s)       - 2 min.                - Slice of Life                                                                                                                 - https://myanimelist.net/anime/36747
100-man-nen Chikyuu no Tabi: Bander Book                                                             - 5.97  - 1978    - 1 episode(s)       - 1 hr. 34 min.         - Sci-Fi                                                                                                                        - https://myanimelist.net/anime/5133
123                                                                                                  - 3.87  - 2004    - 1 episode(s)       - 2 min.                - Kids, Music                                                                                                                   - https://myanimelist.net/anime/37065
15 Bishoujo Hyouryuuki                                                                               - 6.94  - 2009    - 3 episode(s)       - 26 min. per ep.       - Comedy, Harem, Hentai                                                                                                         - https://myanimelist.net/anime/5762
2002-nen Halmeoni Ondo                                                                               - 5.44  - 2002    - 1 episode(s)       - 2 min.                - Music, Kids                                                                                                                   - https://myanimelist.net/anime/31874
21 Seiki wa Minna ga Shuyaku                                                                         - 7.83  - 2001    - 1 episode(s)       - 23 min.               - Drama                                                                                                                         - https://myanimelist.net/anime/35242
3-D Heaven                                                                                           - 4.70  - 1988    - 1 episode(s)       - 2 min.                - Music, Kids                                                                                                                   - https://myanimelist.net/anime/24783
3-tsu no Kumo                                                                                        - 4.97  - 2005    - 3 episode(s)       - 4 min. per ep.        - Dementia                                                                                                                      - https://myanimelist.net/anime/7809
3D Onara Gorou ga Dance Dance Dance!!                                                                - 3.53  - 2016    - 1 episode(s)       - 25 sec.               - Comedy, Music                                                                                                                 - https://myanimelist.net/anime/33696
4.Eyes                                                                                               - 3.55  - 1975    - 1 episode(s)       - 9 min.                - Dementia                                                                                                                      - https://myanimelist.net/anime/30665
40-shuunen da yo! Coro Coro All-Star Shougakkou                                                      - N/A   - 2017    - Unknown episode(s) - 12 min.               - Comedy, School                                                                                                                - https://myanimelist.net/anime/35745
91 Days Recap                                                                                        - 6.37  - 2016    - 1 episode(s)       - 24 min.               - Action, Historical, Drama                                                                                                     - https://myanimelist.net/anime/33964
91 Days Special                                                                                      - 6.87  - 2017    - 1 episode(s)       - 24 min.               - Action, Historical, Drama                                                                                                     - https://myanimelist.net/anime/34777
91 Days                                                                                              - 7.89  - 2016    - 12 episode(s)      - 24 min. per ep.       - Action, Drama, Historical                                                                                                     - https://myanimelist.net/anime/32998
91 Daze                                                                                              - 5.75  - 2016    - 7 episode(s)       - 2 min. per ep.        - Comedy, Historical                                                                                                            - https://myanimelist.net/anime/36756
9                                                                                                    - 5.36  - 2013    - 1 episode(s)       - 4 min.                - Music                                                                                                                         - https://myanimelist.net/anime/36089
?/Sankaku no Rhythm/Trump no Arasoi                                                                  - 5.00  - 1932    - 1 episode(s)       - 4 min.                - Dementia                                                                                                                      - https://myanimelist.net/anime/35405
A Kite                                                                                               - 6.66  - 1998    - 2 episode(s)       - 26 min. per ep.       - Action, Hentai, Police, Drama                                                                                                 - https://myanimelist.net/anime/320
A Smart Experiment                                                                                   - 4.91  - 2006    - 1 episode(s)       - 3 min.                - Dementia                                                                                                                      - https://myanimelist.net/anime/30214
A Tang Qi Yu                                                                                         - 6.56  - 2017    - 1 episode(s)       - 1 hr. 38 min.         - Adventure, Comedy, Kids                                                                                                       - https://myanimelist.net/anime/37180
A WOMAN IN A FASHION BUILDING                                                                        - N/A   - 2015    - 1 episode(s)       - 50 sec.               - Dementia                                                                                                                      - https://myanimelist.net/anime/37452
A-Ko The Versus                                                                                      - 6.41  - 1990    - 2 episode(s)       - 51 min. per ep.       - Action, Adventure, Comedy, Romance, Sci-Fi, Super Power                                                                       - https://myanimelist.net/anime/1295
A.F                                                                                                  - 4.53  - 2002    - 1 episode(s)       - 15 min.               - Action, Sci-Fi, Space, Mecha                                                                                                  - https://myanimelist.net/anime/4934
A.I.C.O.: Incarnation                                                                                - 6.98  - 2018    - 12 episode(s)      - 24 min. per ep.       - Action, Sci-Fi                                                                                                                - https://myanimelist.net/anime/36039
AD Police                                                                                            - 6.40  - 1990    - 3 episode(s)       - 24 min. per ep.       - Sci-Fi, Adventure, Mystery, Dementia, Police, Psychological, Thriller, Mecha                                                  - https://myanimelist.net/anime/1346
AIKa                                                                                                 - 6.00  - 1997    - 7 episode(s)       - 30 min. per ep.       - Action, Ecchi, Adventure, Comedy, Sci-Fi                                                                                      - https://myanimelist.net/anime/366
AKB0048: Next Stage                                                                                  - 7.78  - 2013    - 13 episode(s)      - 23 min. per ep.       - Music, Sci-Fi                                                                                                                 - https://myanimelist.net/anime/14941
AKB0048                                                                                              - 7.50  - 2012    - 13 episode(s)      - 23 min. per ep.       - Music, Sci-Fi                                                                                                                 - https://myanimelist.net/anime/12149
Aa! Megami-sama! Movie                                                                               - 7.63  - 2000    - 1 episode(s)       - 1 hr. 46 min.         - Comedy, Magic, Romance, Seinen, Supernatural                                                                                  - https://myanimelist.net/anime/304
Abenobashi Mahou☆Shoutengai                                                                          - 7.35  - 2002    - 13 episode(s)      - 24 min. per ep.       - Comedy, Parody, Ecchi, Fantasy                                                                                                - https://myanimelist.net/anime/306
Abstract feat. Alkama                                                                                - 5.33  - 2017    - 1 episode(s)       - 2 min.                - Dementia                                                                                                                      - https://myanimelist.net/anime/36182
Acchi Kocchi                                                                                         - 7.41  - 1962    - 1 episode(s)       - 20 min.               - Dementia                                                                                                                      - https://myanimelist.net/anime/22419
Acerola-chan                                                                                         - 4.61  - 2009    - 3 episode(s)       - 3 min. per ep.        - Comedy                                                                                                                        - https://myanimelist.net/anime/33500
Action Heroine Cheer Fruits                                                                          - 6.58  - 2017    - 12 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, School                                                                                                 - https://myanimelist.net/anime/34800
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd                                               - 6.50  - 2016    - 12 episode(s)      - 24 min. per ep.       - Sci-Fi, Comedy, Police, Mecha                                                                                                 - https://myanimelist.net/anime/32301
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari                                                   - 5.95  - 2016    - 12 episode(s)      - 24 min. per ep.       - Comedy, Mecha, Police, Sci-Fi                                                                                                 - https://myanimelist.net/anime/31790
Ad Lib Anime Kenkyuujo                                                                               - 5.89  - 2011    - 38 episode(s)      - 4 min. per ep.        - Comedy                                                                                                                        - https://myanimelist.net/anime/11541
Adesugata Mahou no Sannin Musume                                                                     - 5.42  - 1986    - 1 episode(s)       - 29 min.               - Magic, Comedy, Shoujo                                                                                                         - https://myanimelist.net/anime/5246
Adventures in Beauty Wonderland                                                                      - 4.05  - 2013    - 1 episode(s)       - 4 min.                - Adventure, Dementia                                                                                                           - https://myanimelist.net/anime/29980
Afro Samurai Movie                                                                                   - 7.60  - 2007    - 1 episode(s)       - 1 hr. 56 min.         - Action, Adventure, Samurai                                                                                                    - https://myanimelist.net/anime/13709
Afro Samurai Pilot                                                                                   - 6.81  - 2003    - 1 episode(s)       - 3 min.                - Action, Martial Arts, Samurai, Seinen                                                                                         - https://myanimelist.net/anime/27939
Afro Samurai: Resurrection                                                                           - 7.44  - 2009    - 1 episode(s)       - 1 hr. 40 min.         - Action, Adventure, Samurai                                                                                                    - https://myanimelist.net/anime/4970
Afro Samurai                                                                                         - 7.41  - 2007    - 5 episode(s)       - 27 min. per ep.       - Action, Adventure, Samurai                                                                                                    - https://myanimelist.net/anime/1292
After School                                                                                         - N/A   - Unknown - Unknown episode(s) - Unknown               - School                                                                                                                        - https://myanimelist.net/anime/33736
Aftermath                                                                                            - 6.12  - 2016    - 1 episode(s)       - 5 min.                - Military, Music, Drama                                                                                                        - https://myanimelist.net/anime/33326
Against                                                                                              - 4.56  - 2013    - 1 episode(s)       - 16 sec.               - Dementia, Fantasy                                                                                                             - https://myanimelist.net/anime/34887
Age of Obscure: Boubaku Jidai                                                                        - 4.64  - 2016    - 1 episode(s)       - 4 min.                - Dementia                                                                                                                      - https://myanimelist.net/anime/34436
Aggressive Retsuko (ONA)                                                                             - 7.89  - 2018    - 10 episode(s)      - 15 min. per ep.       - Slice of Life, Comedy                                                                                                         - https://myanimelist.net/anime/36904
Aggressive Retsuko                                                                                   - 7.63  - 2016    - 100 episode(s)     - 1 min. per ep.        - Music, Comedy                                                                                                                 - https://myanimelist.net/anime/32977
Ahiru Rikusentai                                                                                     - 5.28  - 1940    - 1 episode(s)       - 13 min.               - Action, Military, Historical, Kids                                                                                            - https://myanimelist.net/anime/28241
Ahiru no Otegara                                                                                     - 5.01  - 1931    - 1 episode(s)       - 1 min.                - Adventure                                                                                                                     - https://myanimelist.net/anime/6852
Ai (ONA)                                                                                             - 2.60  - 2012    - 1 episode(s)       - 7 sec.                - Romance                                                                                                                       - https://myanimelist.net/anime/32294
Ai City                                                                                              - 5.82  - 1986    - 1 episode(s)       - 1 hr. 28 min.         - Action, Super Power, Sci-Fi                                                                                                   - https://myanimelist.net/anime/5053
Ai Sky Tree 21                                                                                       - 4.43  - 2012    - 1 episode(s)       - 15 sec.               - Action                                                                                                                        - https://myanimelist.net/anime/32295
Ai Tenchi Muyou!                                                                                     - 6.27  - 2014    - 50 episode(s)      - 4 min. per ep.        - Comedy, Sci-Fi, Shounen                                                                                                       - https://myanimelist.net/anime/24699
Ai to Shi                                                                                            - 5.78  - 2013    - 1 episode(s)       - 1 min.                - Action                                                                                                                        - https://myanimelist.net/anime/32150
Ai wa Kagi no Kazu dake... Fuuzoku Mansion                                                           - 6.33  - 2002    - 1 episode(s)       - 30 min.               - Hentai                                                                                                                        - https://myanimelist.net/anime/1895
Ai                                                                                                   - 4.40  - 1963    - 1 episode(s)       - 4 min.                - Dementia, Psychological, Romance                                                                                              - https://myanimelist.net/anime/6535
Aikatsu Stars! Movie                                                                                 - 7.43  - 2016    - 1 episode(s)       - 59 min.               - Music, School, Shoujo, Slice of Life                                                                                          - https://myanimelist.net/anime/31485
Aikatsu Stars!                                                                                       - 7.78  - 2016    - 100 episode(s)     - 24 min. per ep.       - Music, Slice of Life, School, Shoujo                                                                                          - https://myanimelist.net/anime/32717
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!                                              - 7.10  - 2015    - 1 episode(s)       - 56 min.               - Music, Shoujo                                                                                                                 - https://myanimelist.net/anime/30845
Aikatsu!: Nerawareta Mahou no Aikatsu! Card                                                          - 7.34  - 2016    - 1 episode(s)       - 27 min.               - Music, Slice of Life, School, Shoujo                                                                                          - https://myanimelist.net/anime/32806
Aikatsu!                                                                                             - 7.44  - 2012    - 178 episode(s)     - 24 min. per ep.       - Music, School, Shoujo, Slice of Life                                                                                          - https://myanimelist.net/anime/15061
Aikodesho                                                                                            - 3.73  - 1988    - 1 episode(s)       - 2 min.                - Kids, Music                                                                                                                   - https://myanimelist.net/anime/32421
Aitata Bocchi                                                                                        - 4.63  - 2016    - 1 episode(s)       - 11 min.               - Dementia, Drama                                                                                                               - https://myanimelist.net/anime/34631
Ajimu: Kaigan Monogatari                                                                             - 6.44  - 2001    - 4 episode(s)       - 28 min. per ep.       - Comedy, Drama, Romance, School                                                                                                - https://myanimelist.net/anime/1734
Akagaki Genzou: Tokuri no Wakare                                                                     - 4.42  - 1924    - 1 episode(s)       - Unknown               - Comedy                                                                                                                        - https://myanimelist.net/anime/24857
Akahori Gedou Hour Rabuge                                                                            - 6.24  - 2005    - 13 episode(s)      - 24 min. per ep.       - Comedy, Magic, Parody                                                                                                         - https://myanimelist.net/anime/309
Akai Boushi                                                                                          - 5.44  - 1984    - 1 episode(s)       - 2 min.                - Music, Kids                                                                                                                   - https://myanimelist.net/anime/8731
Akai Hayate                                                                                          - 5.59  - 1991    - 4 episode(s)       - 27 min. per ep.       - Action, Martial Arts, Super Power                                                                                             - https://myanimelist.net/anime/4923
Akai Jitensha                                                                                        - 5.21  - 1999    - 1 episode(s)       - 2 min.                - Music, Kids                                                                                                                   - https://myanimelist.net/anime/24999
Akaoni to Aooni no Tango                                                                             - 5.13  - 1977    - 1 episode(s)       - 2 min.                - Music, Kids                                                                                                                   - https://myanimelist.net/anime/24861
Aki no Kanade                                                                                        - 7.13  - 2015    - 1 episode(s)       - 25 min.               - Slice of Life, Music, School                                                                                                  - https://myanimelist.net/anime/29513
Aki no Puzzle                                                                                        - 2.66  - 2003    - 1 episode(s)       - 6 min.                - Dementia                                                                                                                      - https://myanimelist.net/anime/22179
Akihabara Dennou-gumi: 2011-nen no Natsuyasumi                                                       - 6.82  - 1999    - 1 episode(s)       - 1 hr.                 - Adventure, Comedy, Mecha, Sci-Fi                                                                                              - https://myanimelist.net/anime/2289
Akihabara Dennou-gumi                                                                                - 6.66  - 1998    - 26 episode(s)      - 23 min. per ep.       - Adventure, Mecha, Sci-Fi, Shoujo                                                                                              - https://myanimelist.net/anime/2288
Akina to Onsen de H Shiyo!                                                                           - 6.48  - 2010    - 1 episode(s)       - 20 min.               - Hentai                                                                                                                        - https://myanimelist.net/anime/9849
Akisutozeneko                                                                                        - 3.08  - 2001    - 1 episode(s)       - 2 min.                - Music                                                                                                                         - https://myanimelist.net/anime/35786
Akita Kenritsu Iburi Gakkou Chuutou-bu: Web-ban Omake                                                - 2.00  - 2017    - Unknown episode(s) - 1 min.                - Comedy                                                                                                                        - https://myanimelist.net/anime/35227
Akita Kenritsu Iburi Gakkou Chuutou-bu                                                               - 3.71  - 2017    - Unknown episode(s) - 2 min.                - Comedy                                                                                                                        - https://myanimelist.net/anime/35226
Akuma no Kairozu                                                                                     - 4.67  - 1988    - 1 episode(s)       - 7 min.                - Dementia                                                                                                                      - https://myanimelist.net/anime/31267
Akuu Daisakusen Srungle                                                                              - 6.40  - 1983    - 53 episode(s)      - 25 min. per ep.       - Action, Mecha, Sci-Fi                                                                                                         - https://myanimelist.net/anime/6452
Alan-kun no Koutsuu Rule wo Mamorou ne!                                                              - 1.75  - Unknown - 1 episode(s)       - 12 min.               - Kids, Sci-Fi                                                                                                                  - https://myanimelist.net/anime/35150
Aldnoah.Zero 2nd Season                                                                              - 7.11  - 2015    - 12 episode(s)      - 23 min. per ep.       - Action, Mecha, Sci-Fi, Space                                                                                                  - https://myanimelist.net/anime/27655
Aldnoah.Zero Extra Archives                                                                          - 6.91  - 2015    - 1 episode(s)       - 48 min.               - Action, Sci-Fi, Mecha                                                                                                         - https://myanimelist.net/anime/29223
Aldnoah.Zero                                                                                         - 7.58  - 2014    - 12 episode(s)      - 23 min. per ep.       - Action, Military, Sci-Fi, Mecha                                                                                               - https://myanimelist.net/anime/22729
Alice SOS                                                                                            - 6.15  - 1998    - 28 episode(s)      - 19 min. per ep.       - Adventure                                                                                                                     - https://myanimelist.net/anime/8812
Alice Tantei Kyoku                                                                                   - 5.25  - 1995    - 56 episode(s)      - 12 min. per ep.       - Mystery, Kids, Fantasy                                                                                                        - https://myanimelist.net/anime/18819
All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga                                       - 5.88  - 2016    - 12 episode(s)      - 42 sec. per ep.       - Slice of Life                                                                                                                 - https://myanimelist.net/anime/33903
Alluptoyou                                                                                           - 5.07  - 2016    - 1 episode(s)       - 2 min.                - Music                                                                                                                         - https://myanimelist.net/anime/36092
Alphard x Taka no Tsume                                                                              - 4.35  - 2018    - 3 episode(s)       - 4 min. per ep.        - Cars, Parody                                                                                                                  - https://myanimelist.net/anime/37143
Amanatsu                                                                                             - 6.16  - 2010    - 1 episode(s)       - 14 min.               - Sci-Fi                                                                                                                        - https://myanimelist.net/anime/9595
Amaryllis                                                                                            - 3.59  - 1968    - 1 episode(s)       - 2 min.                - Music                                                                                                                         - https://myanimelist.net/anime/36056
Amazing Nuts!                                                                                        - 6.67  - 2006    - 4 episode(s)       - 10 min. per ep.       - Adventure, Police, Romance, Music, Sci-Fi                                                                                     - https://myanimelist.net/anime/1998
Ame no Ten Ten                                                                                       - 4.73  - 1985    - 1 episode(s)       - 2 min.                - Music                                                                                                                         - https://myanimelist.net/anime/35667
Ameya Tanuki                                                                                         - 3.76  - 1931    - 1 episode(s)       - 4 min.                - Comedy                                                                                                                        - https://myanimelist.net/anime/35388
Amon Saga                                                                                            - 5.55  - 1986    - 1 episode(s)       - 1 hr. 14 min.         - Action, Adventure, Fantasy                                                                                                    - https://myanimelist.net/anime/2249
An Expression                                                                                        - 3.85  - 1935    - 1 episode(s)       - 3 min.                - Dementia                                                                                                                      - https://myanimelist.net/anime/35402
An Ling Yu Shi Di Qi                                                                                 - 6.18  - 2017    - 13 episode(s)      - 22 min. per ep.       - Adventure, Kids, Sci-Fi                                                                                                       - https://myanimelist.net/anime/36666
Anata dake Konbanwa                                                                                  - 6.92  - 2009    - 5 episode(s)       - 25 min. per ep.       - Harem, Hentai                                                                                                                 - https://myanimelist.net/anime/6690
Anata no Katagoshi Chotto Ue                                                                         - 3.69  - 2008    - 3 episode(s)       - 3 min. per ep.        - Comedy, Supernatural                                                                                                          - https://myanimelist.net/anime/34696
Ancien to Mahou no Tablet: Mou Hitotsu no Hirune Hime                                                - 6.31  - 2017    - 2 episode(s)       - 12 min. per ep.       - Drama, Fantasy                                                                                                                - https://myanimelist.net/anime/34893
Aneki no Kounai Kaikinbi                                                                             - 5.58  - 2012    - 1 episode(s)       - 17 min.               - Hentai                                                                                                                        - https://myanimelist.net/anime/13019
Angel Beats! Specials                                                                                - 7.74  - 2010    - 2 episode(s)       - 27 min. per ep.       - Action, Comedy, Supernatural, School                                                                                          - https://myanimelist.net/anime/9062
Angel Beats!: Another Epilogue                                                                       - 7.59  - 2010    - 1 episode(s)       - 2 min.                - Supernatural, Drama, School                                                                                                   - https://myanimelist.net/anime/10067
Angel Beats!                                                                                         - 8.31  - 2010    - 13 episode(s)      - 24 min. per ep.       - Action, Comedy, Drama, School, Supernatural                                                                                   - https://myanimelist.net/anime/6547
Angel Blade Punish!                                                                                  - 6.52  - 2004    - 3 episode(s)       - 30 min. per ep.       - Adventure, Hentai, Magic, Sci-Fi                                                                                              - https://myanimelist.net/anime/2325
Angel Blade: Ultimate Edition - Tokuteneizou                                                         - 6.28  - 2004    - 1 episode(s)       - 6 min.                - Sci-Fi, Hentai                                                                                                                - https://myanimelist.net/anime/4946
Angel Blade                                                                                          - 6.41  - 2001    - 3 episode(s)       - 28 min. per ep.       - Action, Demons, Hentai                                                                                                        - https://myanimelist.net/anime/2324
Angel Cop                                                                                            - 5.99  - 1989    - 6 episode(s)       - 30 min. per ep.       - Action, Sci-Fi, Police                                                                                                        - https://myanimelist.net/anime/1351
Ani x Para                                                                                           - 5.77  - 2017    - 2 episode(s)       - 5 min. per ep.        - Sports                                                                                                                        - https://myanimelist.net/anime/37290
Ani*Kuri15                                                                                           - 6.93  - 2007    - 15 episode(s)      - 1 min. per ep.        - Slice of Life, Adventure, Fantasy, Magic, Game, Martial Arts, Comedy, Mecha, Super Power, Supernatural, School, Drama, Sci-Fi - https://myanimelist.net/anime/2832
Animal Dance                                                                                         - 4.79  - 2009    - 1 episode(s)       - 5 min.                - Music, Dementia                                                                                                               - https://myanimelist.net/anime/10436
Anime Mitai na                                                                                       - 5.30  - 2014    - 1 episode(s)       - 4 min.                - Music                                                                                                                         - https://myanimelist.net/anime/35707
Anime Oyako Gekijou                                                                                  - 5.93  - 1981    - 26 episode(s)      - 24 min. per ep.       - Kids, Adventure, Fantasy, Historical, Sci-Fi                                                                                  - https://myanimelist.net/anime/2882
Animegatari x Ghost in the Shell Collab Eizou                                                        - 5.28  - 2015    - 1 episode(s)       - 1 min.                - Sci-Fi, Comedy                                                                                                                - https://myanimelist.net/anime/33512
Animegatari x Shingeki no Kyojin Collab Eizou                                                        - N/A   - 2015    - 1 episode(s)       - 1 min.                - Comedy                                                                                                                        - https://myanimelist.net/anime/37012
Animegatari                                                                                          - 6.02  - 2015    - 8 episode(s)       - 1 min. per ep.        - Comedy                                                                                                                        - https://myanimelist.net/anime/30617
Animegataris:Yuku-toshi, Kuru-toshi                                                                  - N/A   - 2017    - 1 episode(s)       - 3 min.                - Comedy, Slice of Life                                                                                                         - https://myanimelist.net/anime/37037
Animegataris                                                                                         - 6.63  - 2017    - 12 episode(s)      - 23 min. per ep.       - Comedy, Parody, School                                                                                                        - https://myanimelist.net/anime/35427
Anison Nippon                                                                                        - 5.10  - 2014    - 1 episode(s)       - 45 sec.               - Action, Sci-Fi                                                                                                                - https://myanimelist.net/anime/32289
Anitore! EX: Jigoku no Training                                                                      - 5.52  - 2016    - 5 episode(s)       - 5 min. per ep.        - Sports                                                                                                                        - https://myanimelist.net/anime/32886
Anitore! EX                                                                                          - 5.53  - 2015    - 12 episode(s)      - 4 min. per ep.        - Comedy, Sports                                                                                                                - https://myanimelist.net/anime/31519
Anitore! XX: Hitotsu Yane no Shita de                                                                - 5.70  - 2016    - 12 episode(s)      - 4 min. per ep.        - Comedy, Sports                                                                                                                - https://myanimelist.net/anime/33746
